sample_id,hole_id,from_ft,to_ft,from_m,to_m,description,qaqc,source_samples,ag_ppm,ag_ppm(2),al_%,as_ppm,au_ppm,au_ppm(2),ba_ppm,be_ppm,bi_ppm,ca_%,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_%,cu_ppm,fe_%,ga_ppm,ge_ppm,hf_ppm,in_ppm,k_%,la_ppm,li_ppm,mg_%,mn_ppm,mo_ppm,na_%,nb_ppm,ni_ppm,p_ppm,pb_%,pb_ppm,rb_ppm,re_ppm,recvd_wt._kg,s_%,sb_ppm,sc_ppm,se_ppm,sn_ppm,sn_ppm(2),source_assays,sr_ppm,ta_ppm,te_ppm,th_ppm,ti_%,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm,zn_%,zn_ppm,zr_ppm
B300015,KM-20-01,nan,nan,nan,nan,0,STD CDN-ME-1410,KM-20-01.xlsx,71,0.0,1.18,160,0.565,0.0,<50,<10,100,0.92,110,0.0,320,20,0,0.0,38300,28.0,<50,0.0,0,0.0,0.1,<50,0.0,1.93,780,10,0.07,0,60,110,0.0,2500,0,0,0.12,>10.0,<50,<10,0,0.0,0,TU20017795.csv,10,0,0.0,<50,0.05,<50,<50,10,<50,0.0,0,37100,0.0
B300016,KM-20-01,469.5,472.0,143.1,143.9,Chlorite-sericite schist with concordant quartz vein containing sparse cpy+py and possibly aspy(?).,0,KM-20-01.xlsx,<1,0.0,6.76,50,<0.005,0.0,210,<10,<20,6.22,<10,0.0,50,280,0,0.0,220,7.97,<50,0.0,0,0.0,1.2,<50,0.0,3.3,750,<10,0.15,0,160,430,0.0,<20,0,0,2.55,0.09,<50,40,0,0.0,0,TU20017795.csv,70,0,0.0,<50,0.60,<50,<50,350,<50,0.0,0,140,0.0
B300017,KM-20-01,472.0,475.0,143.9,144.8,"Silicified zone with quartz-pyrite veinlets. Pyrite blebs, clots and disseminated grains.",0,KM-20-01.xlsx,<1,0.0,1.35,<50,0.034,0.0,<50,<10,<20,3.58,<10,0.0,20,80,0,0.0,110,5.95,<50,0.0,0,0.0,0.1,<50,0.0,0.9,470,<10,<0.05,0,40,610,0.0,<20,0,0,3.81,2.24,<50,10,0,0.0,0,TU20017795.csv,30,0,0.0,<50,0.12,<50,<50,70,<50,0.0,0,50,0.0
B300001,KM-20-01,884.0,887.0,269.4,270.4,Qtz-sericite schist with 0.4' thick quartz veinlet(trace cpy+py).,0,KM-20-01.xlsx,1,0.0,3.69,160,0.026,0.0,210,<10,<20,4.58,<10,0.0,<10,10,0,0.0,860,2.41,<50,0.0,0,0.0,1.0,<50,0.0,3.06,810,<10,0.14,0,<10,90,0.0,200,0,0,2.14,0.32,50,10,0,0.0,0,TU20017795.csv,60,0,0.0,<50,0.05,<50,<50,10,<50,0.0,0,180,0.0
B300002,KM-20-01,887.0,892.0,270.4,271.9,Sericite-qtz schist with 0.2' exhalite(cpy <1%)+ py.,0,KM-20-01.xlsx,3,0.0,4.56,3670,0.296,0.0,290,<10,20,0.80,10,0.0,20,10,0,0.0,1480,3.78,<50,0.0,0,0.0,1.5,<50,0.0,2.61,680,<10,0.13,0,<10,60,0.0,360,0,0,6.22,0.97,<50,10,0,0.0,0,TU20017795.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,3520,0.0
B300003,KM-20-01,892.0,897.0,271.9,273.4,"Sericite-qtz schist with several thin exhalite bands containing either/and /or cpy, aspy, py.",0,KM-20-01.xlsx,1,0.0,4.51,970,0.040,0.0,260,<10,<20,1.28,10,0.0,10,10,0,0.0,210,3.21,<50,0.0,0,0.0,1.1,<50,0.0,3.1,570,<10,0.13,0,<10,50,0.0,190,0,0,5.05,0.27,<50,10,0,0.0,0,TU20017795.csv,20,0,0.0,<50,0.05,<50,<50,<10,<50,0.0,0,1530,0.0
B300004,KM-20-01,897.0,900.0,273.4,274.3,"Sericite-qtz schist containing several scattered, very thin exhalite bands of wispy cpy+py+/-aspy.",0,KM-20-01.xlsx,1,0.0,3.71,340,0.028,0.0,220,<10,<20,0.87,<10,0.0,10,10,0,0.0,1130,3.02,<50,0.0,0,0.0,0.8,<50,0.0,2.66,610,<10,0.11,0,<10,<50,0.0,70,0,0,4.22,0.20,<50,10,0,0.0,0,TU20017795.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,190,0.0
B300005,KM-20-01,900.0,905.0,274.3,275.8,"Sericite-qtz schist with sparse, very thin exhalite bands containing wispy cpy+py.",0,KM-20-01.xlsx,4,0.0,2.39,1400,0.133,0.0,210,<10,<20,1.63,<10,0.0,<10,10,0,0.0,2190,1.73,<50,0.0,0,0.0,1.0,<50,0.0,1.53,560,<10,0.10,0,<10,<50,0.0,150,0,0,4.82,0.38,280,<10,0,0.0,0,TU20017795.csv,20,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,640,0.0
B300006,KM-20-01,905.0,907.0,275.8,276.5,"Semi-massive to massive sulfide.  Fine-grained py+ cpy. Cpy<3%(est.), Py 80-90%(est.).",0,KM-20-01.xlsx,32,0.0,4.32,7620,1.215,0.0,290,<10,<20,2.14,130,0.0,40,10,0,0.0,4960,11.35,<50,0.0,0,0.0,1.3,<50,0.0,2.34,710,<10,0.15,0,<10,90,0.0,7320,0,0,2.43,>10.0,3090,10,0,0.0,0,TU20017795.csv,30,0,0.0,<50,<0.05,<50,<50,<10,<50,0.0,0,50400,0.0
B300007,KM-20-01,907.0,911.0,276.5,277.7,Sericite-qtz schist and quartz sericite schist with conformable qtz-feldspar vein breccia @ 908.5'-909.5',0,KM-20-01.xlsx,<1,0.0,5.11,100,0.005,0.0,400,<10,<20,7.12,<10,0.0,<10,10,0,0.0,50,2.25,<50,0.0,0,0.0,1.4,<50,0.0,3.93,980,<10,0.21,0,<10,200,0.0,120,0,0,2.89,0.05,50,10,0,0.0,0,TU20017795.csv,70,0,0.0,<50,0.08,<50,<50,10,<50,0.0,0,110,0.0
